Architecture,Iteration,Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
Intel,1,5,32768,0,0,0,0,1,187035,186980,0,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,1,186553,186522,0,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,1,187877,187818,0.001,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,1,85552,85529,0.001,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,1,85902,85887,0,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,1,85943,85908,0.001,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,1,13690,13597,0.013,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,1,13645,13580,0.013,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,1,13570,13485,0.017,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,1,10207,10189,0.003,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,1,10226,10209,0.003,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,1,10215,10207,0.002,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,4,807013,806945,0,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,4,828449,828377,0,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,4,840305,840271,0,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,4,345287,345235,0,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,4,344325,344229,0,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,4,345707,345676,0,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,4,50409,50166,0.013,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,4,50805,50547,0.01,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,4,50761,50316,0.018,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,4,39893,39853,0.004,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,4,39840,39782,0.003,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,4,39838,39746,0.004,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,8,1639527,1633793,0.01,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,8,1652086,1647624,0.004,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,8,1670605,1668236,0.003,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,8,687115,686916,0.001,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,8,688840,688726,0,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,8,687520,687336,0.001,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,8,83307,83133,0.004,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,8,83279,83075,0.007,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,8,83299,83135,0.006,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,8,75555,75387,0.003,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,8,75651,75612,0.001,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,8,75638,75537,0.002,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,12,2511947,2508723,0.002,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,12,2474505,2472488,0.002,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,12,2462066,2458681,0.003,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,12,1032277,1031083,0.002,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,12,1033660,1033129,0.001,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,12,1033071,1032309,0.002,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,12,93437,93233,0.006,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,12,93411,93293,0.002,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,12,93343,93284,0.002,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,12,92582,92496,0.002,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,12,92570,92495,0.002,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,12,92497,92429,0.002,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,16,3307039,3303540,0.003,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,16,3349867,3338599,0.005,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,16,3255489,3253084,0.001,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,16,1377411,1375970,0.003,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,16,1376656,1375492,0.002,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,16,1368614,1367158,0.004,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,16,92910,92844,0.002,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,16,92994,92971,0.001,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,16,92597,92216,0.01,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,16,92624,92412,0.007,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,16,92565,92435,0.003,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,16,92550,92408,0.005,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,20,2854965,2850619,0.003,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,20,2934802,2928035,0.005,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,20,2854995,2847694,0.005,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,20,1299326,1298193,0.002,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,20,1301219,1300330,0.001,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,20,1284094,1283181,0.001,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,20,91640,91442,0.006,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,20,91583,91502,0.003,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,20,91699,91614,0.002,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,20,91595,91517,0.002,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,20,91710,91572,0.003,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,20,91677,91609,0.001,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,24,2418224,2416351,0.001,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,24,2370601,2368374,0.003,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,24,2436323,2435093,0.002,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,24,1248752,1248004,0.002,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,24,1235447,1234056,0.003,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,24,1225121,1221470,0.01,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,24,90829,90785,0.001,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,24,90829,90610,0.006,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,24,90362,90201,0.003,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,24,90336,89971,0.01,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,24,90267,90039,0.009,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,24,90518,90319,0.005,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,28,1848337,1842158,0.007,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,28,1846976,1845057,0.002,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,28,1848400,1844602,0.004,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,28,1132537,1131847,0.001,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,28,1115120,1114420,0.001,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,28,1146524,1146019,0.001,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,28,89763,89633,0.003,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,28,89757,89710,0.001,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,28,89805,89749,0.002,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,28,89944,89059,0.029,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,28,89661,89547,0.005,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,28,89688,89446,0.006,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,32,1301687,1301618,0,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,32,1303337,1302797,0.001,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,32,1301191,1301000,0,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,32,1055287,1055101,0,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,32,1076188,1075776,0.001,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,32,1063562,1062600,0.003,--------,memcpy-libc
