Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,4096,1,1.294,5895,0.001,0,0,0,0.000,simple,--------
5,4096,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,4096,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,4096,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,4096,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,6144,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,6144,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,6144,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,6144,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,6144,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,8192,1,1.294,5894,0.000,0,0,0,0.000,simple,--------
5,8192,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,8192,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,8192,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,8192,1,1.294,5895,0.000,0,0,0,0.000,simple,--------
5,12288,1,1.295,5892,0.000,0,0,0,0.000,simple,--------
5,12288,1,1.295,5892,0.000,0,0,0,0.000,simple,--------
5,12288,1,1.295,5892,0.000,0,0,0,0.000,simple,--------
5,12288,1,1.295,5893,0.000,0,0,0,0.000,simple,--------
5,12288,1,1.295,5893,0.000,0,0,0,0.000,simple,--------
5,16384,1,1.295,5891,0.000,0,0,0,0.000,simple,--------
5,16384,1,1.295,5891,0.000,0,0,0,0.000,simple,--------
5,16384,1,1.295,5891,0.000,0,0,0,0.000,simple,--------
5,16384,1,1.295,5891,0.001,0,0,0,0.000,simple,--------
5,16384,1,1.295,5891,0.000,0,0,0,0.000,simple,--------
5,24576,1,1.295,5892,0.000,0,0,0,0.000,simple,--------
5,24576,1,1.295,5892,0.000,0,0,0,0.000,simple,--------
5,24576,1,1.295,5892,0.001,0,0,0,0.000,simple,--------
5,24576,1,1.295,5892,0.000,0,0,0,0.000,simple,--------
5,24576,1,1.295,5892,0.000,0,0,0,0.000,simple,--------
