Architecture,Iteration,Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
Intel,1,5,1073741824,1,121.628,63,0.001,0,0,0,0,chaseload,memcpy-libc
Intel,2,5,1073741824,1,121.622,63,0,0,0,0,0,chaseload,memcpy-libc
Intel,3,5,1073741824,1,121.617,63,0.001,0,0,0,0,chaseload,memcpy-libc
Intel,4,5,1073741824,1,121.798,63,0.001,0,0,0,0,chaseload,memcpy-libc
Intel,5,5,1073741824,1,121.645,63,0.001,0,0,0,0,chaseload,memcpy-libc
Intel,1,5,1073741824,1,134.445,57,0,3,30204,30185,0.001,chaseload,memcpy-libc
Intel,2,5,1073741824,1,134.454,57,0,3,30174,30165,0,chaseload,memcpy-libc
Intel,3,5,1073741824,1,134.393,57,0,3,30179,30172,0.001,chaseload,memcpy-libc
Intel,4,5,1073741824,1,134.377,57,0.001,3,30189,30181,0.001,chaseload,memcpy-libc
Intel,5,5,1073741824,1,134.412,57,0.001,3,30161,30154,0,chaseload,memcpy-libc
Intel,1,5,1073741824,1,155.849,49,0,7,67741,67727,0,chaseload,memcpy-libc
Intel,2,5,1073741824,1,155.779,49,0.001,7,67757,67733,0.001,chaseload,memcpy-libc
Intel,3,5,1073741824,1,155.802,49,0,7,67742,67731,0,chaseload,memcpy-libc
Intel,4,5,1073741824,1,155.895,49,0.003,7,67747,67730,0.001,chaseload,memcpy-libc
Intel,5,5,1073741824,1,155.856,49,0,7,67756,67739,0,chaseload,memcpy-libc
Intel,1,5,1073741824,1,250.131,31,0.001,11,90580,90561,0,chaseload,memcpy-libc
Intel,2,5,1073741824,1,250.288,30,0.003,11,90578,90554,0,chaseload,memcpy-libc
Intel,3,5,1073741824,1,250.928,30,0.002,11,90573,90548,0.001,chaseload,memcpy-libc
Intel,4,5,1073741824,1,250.585,30,0.001,11,90593,90568,0.001,chaseload,memcpy-libc
Intel,5,5,1073741824,1,250.381,30,0.001,11,90585,90552,0.001,chaseload,memcpy-libc
Intel,1,5,1073741824,1,338.955,23,0.004,15,92965,92933,0.001,chaseload,memcpy-libc
Intel,2,5,1073741824,1,339.847,22,0.006,15,92951,92939,0,chaseload,memcpy-libc
Intel,3,5,1073741824,1,336.207,23,0.003,15,92947,92923,0.001,chaseload,memcpy-libc
Intel,4,5,1073741824,1,339.124,22,0.003,15,92954,92907,0.001,chaseload,memcpy-libc
Intel,5,5,1073741824,1,340.78,22,0.008,15,92949,92928,0.001,chaseload,memcpy-libc
Intel,1,5,1073741824,1,508.498,15,0.043,19,92055,92029,0.001,chaseload,memcpy-libc
Intel,2,5,1073741824,1,510.357,15,0.008,19,92168,92148,0,chaseload,memcpy-libc
Intel,3,5,1073741824,1,506.703,15,0.008,19,92163,92142,0.001,chaseload,memcpy-libc
Intel,4,5,1073741824,1,511.005,15,0.016,19,92153,92141,0,chaseload,memcpy-libc
Intel,5,5,1073741824,1,507.214,15,0.019,19,92148,92126,0.001,chaseload,memcpy-libc
Intel,1,5,1073741824,1,525.978,15,0.007,23,91182,91149,0.001,chaseload,memcpy-libc
Intel,2,5,1073741824,1,529.152,14,0.062,23,91202,91175,0.001,chaseload,memcpy-libc
Intel,3,5,1073741824,1,524.2,15,0.009,23,91225,91206,0,chaseload,memcpy-libc
Intel,4,5,1073741824,1,532.456,14,0.013,23,91223,91202,0,chaseload,memcpy-libc
Intel,5,5,1073741824,1,538.366,14,0.006,23,91251,91222,0.001,chaseload,memcpy-libc
Intel,1,5,1073741824,1,537.269,14,0.019,27,90243,90218,0.001,chaseload,memcpy-libc
Intel,2,5,1073741824,1,540.882,14,0.009,27,90261,90246,0,chaseload,memcpy-libc
Intel,3,5,1073741824,1,541.649,14,0.01,27,90235,90228,0,chaseload,memcpy-libc
Intel,4,5,1073741824,1,545.733,14,0.004,27,90257,90236,0,chaseload,memcpy-libc
Intel,5,5,1073741824,1,532.011,14,0.013,27,90267,90251,0,chaseload,memcpy-libc
Intel,1,5,1073741824,1,550.061,14,0.076,31,89304,89286,0.001,chaseload,memcpy-libc
Intel,2,5,1073741824,1,543.345,14,0.008,31,89330,89313,0,chaseload,memcpy-libc
Intel,3,5,1073741824,1,553.555,14,0.012,31,89328,89312,0,chaseload,memcpy-libc
Intel,4,5,1073741824,1,548.16,14,0.012,31,89333,89322,0,chaseload,memcpy-libc
Intel,5,5,1073741824,1,551.837,14,0.067,31,89342,89295,0.001,chaseload,memcpy-libc
Intel,1,5,1073741824,1,121.611,63,0.001,0,0,0,0,chaseload,memset-libc
Intel,2,5,1073741824,1,121.63,63,0.001,0,0,0,0,chaseload,memset-libc
Intel,3,5,1073741824,1,121.602,63,0,0,0,0,0,chaseload,memset-libc
Intel,4,5,1073741824,1,121.653,63,0.001,0,0,0,0,chaseload,memset-libc
Intel,5,5,1073741824,1,121.584,63,0.003,0,0,0,0,chaseload,memset-libc
Intel,1,5,1073741824,1,185.808,41,0.001,3,20410,20401,0.001,chaseload,memset-libc
Intel,2,5,1073741824,1,185.675,41,0.001,3,20409,20408,0,chaseload,memset-libc
Intel,3,5,1073741824,1,185.451,41,0.001,3,20412,20407,0.001,chaseload,memset-libc
Intel,4,5,1073741824,1,185.443,41,0.001,3,20417,20414,0,chaseload,memset-libc
Intel,5,5,1073741824,1,185.494,41,0.001,3,20418,20414,0,chaseload,memset-libc
Intel,1,5,1073741824,1,211.975,36,0,7,46150,46135,0.001,chaseload,memset-libc
Intel,2,5,1073741824,1,212.057,36,0.001,7,46145,46140,0,chaseload,memset-libc
Intel,3,5,1073741824,1,211.624,36,0.001,7,46143,46126,0.001,chaseload,memset-libc
Intel,4,5,1073741824,1,211.908,36,0,7,46141,46136,0,chaseload,memset-libc
Intel,5,5,1073741824,1,211.685,36,0,7,46146,46140,0,chaseload,memset-libc
Intel,1,5,1073741824,1,268.063,28,0.001,11,70003,69994,0,chaseload,memset-libc
Intel,2,5,1073741824,1,267.794,28,0.001,11,70003,69996,0,chaseload,memset-libc
Intel,3,5,1073741824,1,267.469,29,0.002,11,69978,69792,0.004,chaseload,memset-libc
Intel,4,5,1073741824,1,267.676,29,0.001,11,69880,69862,0.001,chaseload,memset-libc
Intel,5,5,1073741824,1,267.786,28,0,11,69966,69941,0.001,chaseload,memset-libc
Intel,1,5,1073741824,1,304.092,25,0.001,15,80023,80006,0.001,chaseload,memset-libc
Intel,2,5,1073741824,1,305.046,25,0,15,80039,80027,0,chaseload,memset-libc
Intel,3,5,1073741824,1,304.254,25,0.001,15,80075,80058,0.001,chaseload,memset-libc
Intel,4,5,1073741824,1,304.805,25,0.001,15,80044,80008,0.001,chaseload,memset-libc
Intel,5,5,1073741824,1,304.142,25,0.001,15,80018,80003,0,chaseload,memset-libc
Intel,1,5,1073741824,1,400.832,19,0.001,19,79947,79928,0.001,chaseload,memset-libc
Intel,2,5,1073741824,1,400.623,19,0.001,19,79953,79939,0,chaseload,memset-libc
Intel,3,5,1073741824,1,400.319,19,0.002,19,79959,79909,0.002,chaseload,memset-libc
Intel,4,5,1073741824,1,400.67,19,0,19,79960,79934,0.001,chaseload,memset-libc
Intel,5,5,1073741824,1,400.655,19,0.001,19,79934,79920,0,chaseload,memset-libc
Intel,1,5,1073741824,1,402.337,19,0.001,23,80006,79998,0,chaseload,memset-libc
Intel,2,5,1073741824,1,402.607,19,0.001,23,80033,80023,0,chaseload,memset-libc
Intel,3,5,1073741824,1,401.921,19,0,23,80064,80035,0.001,chaseload,memset-libc
Intel,4,5,1073741824,1,402.627,19,0,23,80044,80034,0,chaseload,memset-libc
Intel,5,5,1073741824,1,402.365,19,0.001,23,80064,80053,0,chaseload,memset-libc
Intel,1,5,1073741824,1,404.58,19,0.001,27,79980,79962,0.001,chaseload,memset-libc
Intel,2,5,1073741824,1,404.778,19,0,27,79971,79947,0.001,chaseload,memset-libc
Intel,3,5,1073741824,1,404.609,19,0.001,27,79974,79956,0,chaseload,memset-libc
Intel,4,5,1073741824,1,404.7,19,0.001,27,79973,79943,0.001,chaseload,memset-libc
Intel,5,5,1073741824,1,404.732,19,0.001,27,79943,79933,0,chaseload,memset-libc
Intel,1,5,1073741824,1,408.314,19,0.002,31,79507,79463,0.002,chaseload,memset-libc
Intel,2,5,1073741824,1,408.17,19,0.001,31,79528,79500,0.001,chaseload,memset-libc
Intel,3,5,1073741824,1,407.979,19,0.001,31,79498,79471,0.001,chaseload,memset-libc
Intel,4,5,1073741824,1,408.217,19,0.001,31,79475,79462,0.001,chaseload,memset-libc
Intel,5,5,1073741824,1,408.197,19,0.001,31,79481,79455,0.001,chaseload,memset-libc
Intel,1,5,1073741824,1,121.676,63,0.001,0,0,0,0,chaseload,memsetz-libc
Intel,2,5,1073741824,1,121.611,63,0.001,0,0,0,0,chaseload,memsetz-libc
Intel,3,5,1073741824,1,121.614,63,0,0,0,0,0,chaseload,memsetz-libc
