Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,32768,0,0.000,0,0.000,1,74876,74869,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,1,68557,68528,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,1,30418,30401,0.001,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,1,29398,29393,0.000,--------,memcpy-libc
5,32768,0,0.000,0,0.000,4,299567,299550,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,4,261517,261456,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,4,109555,109505,0.001,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,4,107786,107707,0.001,--------,memcpy-libc
5,32768,0,0.000,0,0.000,8,598282,598240,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,8,513945,513439,0.002,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,8,150888,150658,0.004,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,8,147685,147561,0.002,--------,memcpy-libc
5,32768,0,0.000,0,0.000,12,898015,897996,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,12,795234,794857,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,12,163672,163554,0.002,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,12,159399,159278,0.002,--------,memcpy-libc
5,32768,0,0.000,0,0.000,16,1198194,1198150,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,16,1040096,1039742,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,16,169144,169061,0.002,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,16,164697,164482,0.003,--------,memcpy-libc
5,32768,0,0.000,0,0.000,20,1497846,1497818,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,20,1307117,1306676,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,20,164366,163777,0.006,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,20,160451,160348,0.002,--------,memcpy-libc
5,32768,0,0.000,0,0.000,24,1797057,1797030,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,24,1601030,1600832,0.000,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,24,162905,162830,0.001,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,24,158132,157998,0.002,--------,memcpy-libc
5,32768,0,0.000,0,0.000,28,2096517,2096429,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,28,1774913,1774199,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,28,161876,161333,0.014,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,28,157046,156939,0.002,--------,memcpy-libc
5,32768,0,0.000,0,0.000,32,2389930,2389472,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,32,1980824,1979377,0.002,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,32,160616,160174,0.006,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,32,155878,155746,0.002,--------,memcpy-libc
5,32768,0,0.000,0,0.000,1,37988,37988,0.000,--------,memset-libc
5,524288,0,0.000,0,0.000,1,38071,38069,0.000,--------,memset-libc
5,16777216,0,0.000,0,0.000,1,38040,38002,0.002,--------,memset-libc
5,1073741824,0,0.000,0,0.000,1,37938,37835,0.005,--------,memset-libc
5,32768,0,0.000,0,0.000,4,151954,151949,0.000,--------,memset-libc
5,524288,0,0.000,0,0.000,4,152229,152217,0.000,--------,memset-libc
5,16777216,0,0.000,0,0.000,4,142776,142251,0.007,--------,memset-libc
5,1073741824,0,0.000,0,0.000,4,132313,131910,0.006,--------,memset-libc
5,32768,0,0.000,0,0.000,8,303930,303922,0.000,--------,memset-libc
5,524288,0,0.000,0,0.000,8,304586,304565,0.000,--------,memset-libc
5,16777216,0,0.000,0,0.000,8,169721,169121,0.007,--------,memset-libc
5,1073741824,0,0.000,0,0.000,8,157755,156852,0.012,--------,memset-libc
5,32768,0,0.000,0,0.000,12,455883,455875,0.000,--------,memset-libc
5,524288,0,0.000,0,0.000,12,456865,456784,0.001,--------,memset-libc
5,16777216,0,0.000,0,0.000,12,172448,170577,0.036,--------,memset-libc
5,1073741824,0,0.000,0,0.000,12,163483,162605,0.010,--------,memset-libc
5,32768,0,0.000,0,0.000,16,607812,607796,0.000,--------,memset-libc
5,524288,0,0.000,0,0.000,16,609185,608765,0.003,--------,memset-libc
5,16777216,0,0.000,0,0.000,16,173653,173259,0.005,--------,memset-libc
5,1073741824,0,0.000,0,0.000,16,163552,162224,0.016,--------,memset-libc
5,32768,0,0.000,0,0.000,20,759739,759722,0.000,--------,memset-libc
5,524288,0,0.000,0,0.000,20,761425,760475,0.006,--------,memset-libc
5,16777216,0,0.000,0,0.000,20,171155,170529,0.009,--------,memset-libc
5,1073741824,0,0.000,0,0.000,20,161061,160723,0.004,--------,memset-libc
5,32768,0,0.000,0,0.000,24,911658,911646,0.000,--------,memset-libc
5,524288,0,0.000,0,0.000,24,913666,911757,0.010,--------,memset-libc
5,16777216,0,0.000,0,0.000,24,172642,172242,0.009,--------,memset-libc
5,1073741824,0,0.000,0,0.000,24,162908,162592,0.003,--------,memset-libc
5,32768,0,0.000,0,0.000,28,1063190,1063139,0.000,--------,memset-libc
5,524288,0,0.000,0,0.000,28,1065906,1063353,0.012,--------,memset-libc
5,16777216,0,0.000,0,0.000,28,172628,171700,0.011,--------,memset-libc
5,1073741824,0,0.000,0,0.000,28,162113,161764,0.004,--------,memset-libc
5,32768,0,0.000,0,0.000,32,1215431,1215205,0.001,--------,memset-libc
5,524288,0,0.000,0,0.000,32,1217800,1207751,0.041,--------,memset-libc
5,16777216,0,0.000,0,0.000,32,170880,169726,0.018,--------,memset-libc
5,1073741824,0,0.000,0,0.000,32,161037,160371,0.015,--------,memset-libc
5,32768,0,0.000,0,0.000,1,75529,75526,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,1,76121,76108,0.001,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,1,60483,59630,0.037,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,1,58247,57989,0.012,--------,memsetz-libc
5,32768,0,0.000,0,0.000,4,302146,302138,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,4,304501,304382,0.002,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,4,145205,144857,0.007,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,4,134936,134702,0.005,--------,memsetz-libc
5,32768,0,0.000,0,0.000,8,604276,604261,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,8,609042,608081,0.008,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,8,171246,170694,0.007,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,8,160515,159625,0.015,--------,memsetz-libc
5,32768,0,0.000,0,0.000,12,906457,906416,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,12,913573,909717,0.021,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,12,173987,173526,0.008,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,12,166006,165512,0.006,--------,memsetz-libc
5,32768,0,0.000,0,0.000,16,1208536,1208519,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,16,1218051,1207375,0.044,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,16,173704,173270,0.008,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,16,165095,164468,0.010,--------,memsetz-libc
5,32768,0,0.000,0,0.000,20,1510770,1510688,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,20,1522455,1500473,0.071,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,20,174027,173721,0.005,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,20,162863,162525,0.004,--------,memsetz-libc
5,32768,0,0.000,0,0.000,24,1812643,1812629,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,24,1826826,1790422,0.096,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,24,173573,173315,0.004,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,24,163004,162863,0.003,--------,memsetz-libc
5,32768,0,0.000,0,0.000,28,2114721,2114677,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,28,2122031,1995369,0.207,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,28,172185,170550,0.029,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,28,161820,160643,0.020,--------,memsetz-libc
5,32768,0,0.000,0,0.000,32,2416730,2415410,0.003,--------,memsetz-libc
5,524288,0,0.000,0,0.000,32,1921403,1654086,0.333,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,32,170876,169368,0.018,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,32,162032,161184,0.009,--------,memsetz-libc
