Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,32768,0,0.000,0,0.000,1,74953,74946,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,1,65226,65130,0.004,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,1,30513,30475,0.004,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,1,29394,29362,0.003,--------,memcpy-libc
5,32768,0,0.000,0,0.000,4,299720,299679,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,4,253168,253045,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,4,108882,108716,0.005,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,4,107258,107138,0.003,--------,memcpy-libc
5,32768,0,0.000,0,0.000,8,599608,599513,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,8,536643,536609,0.000,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,8,150042,149559,0.005,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,8,147944,147565,0.007,--------,memcpy-libc
5,32768,0,0.000,0,0.000,12,899483,899457,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,12,769947,769672,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,12,164730,163617,0.016,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,12,159599,159130,0.011,--------,memcpy-libc
5,32768,0,0.000,0,0.000,16,1193684,1192591,0.002,--------,memcpy-libc
5,524288,0,0.000,0,0.000,16,1016505,1016050,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,16,167912,167318,0.007,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,16,164851,164668,0.002,--------,memcpy-libc
5,32768,0,0.000,0,0.000,20,1498292,1498159,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,20,1307638,1306985,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,20,164019,163540,0.011,--------,memcpy-libc
