Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,32768,0,0.000,0,0.000,1,182156,182136,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,1,85890,85871,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,1,12362,12175,0.027,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,1,10262,10237,0.006,--------,memcpy-libc
5,32768,0,0.000,0,0.000,4,819386,819319,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,4,341190,340966,0.002,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,4,47281,46784,0.023,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,4,39945,39569,0.016,--------,memcpy-libc
5,32768,0,0.000,0,0.000,8,1571085,1568755,0.003,--------,memcpy-libc
5,524288,0,0.000,0,0.000,8,684939,684752,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,8,79036,78089,0.041,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,8,74593,74244,0.013,--------,memcpy-libc
5,32768,0,0.000,0,0.000,12,2433899,2419667,0.013,--------,memcpy-libc
5,524288,0,0.000,0,0.000,12,1015304,1014839,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,12,89188,88106,0.033,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,12,88427,88299,0.003,--------,memcpy-libc
5,32768,0,0.000,0,0.000,16,3222914,3215408,0.004,--------,memcpy-libc
5,524288,0,0.000,0,0.000,16,1369901,1365989,0.007,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,16,88625,88562,0.002,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,16,88000,87858,0.005,--------,memcpy-libc
5,32768,0,0.000,0,0.000,20,2776421,2771926,0.003,--------,memcpy-libc
5,524288,0,0.000,0,0.000,20,1278186,1277108,0.002,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,20,87674,87555,0.004,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,20,87066,86906,0.004,--------,memcpy-libc
5,32768,0,0.000,0,0.000,24,2330214,2316576,0.011,--------,memcpy-libc
5,524288,0,0.000,0,0.000,24,1241772,1236308,0.006,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,24,86736,86591,0.004,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,24,86209,86081,0.003,--------,memcpy-libc
5,32768,0,0.000,0,0.000,28,1782364,1778776,0.005,--------,memcpy-libc
5,524288,0,0.000,0,0.000,28,1104119,1102216,0.003,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,28,85683,85557,0.005,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,28,85228,84562,0.025,--------,memcpy-libc
5,32768,0,0.000,0,0.000,32,1285840,1285490,0.001,--------,memcpy-libc
5,524288,0,0.000,0,0.000,32,1090820,1090516,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,32,84863,84511,0.017,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,32,84388,83436,0.028,--------,memcpy-libc
5,32768,0,0.000,0,0.000,1,126864,126829,0.001,--------,memset-libc
5,524288,0,0.000,0,0.000,1,56359,54786,0.106,--------,memset-libc
5,16777216,0,0.000,0,0.000,1,21981,21526,0.085,--------,memset-libc
5,1073741824,0,0.000,0,0.000,1,6799,6793,0.003,--------,memset-libc
5,32768,0,0.000,0,0.000,4,532611,532206,0.002,--------,memset-libc
5,524288,0,0.000,0,0.000,4,222375,215564,0.091,--------,memset-libc
5,16777216,0,0.000,0,0.000,4,27706,27608,0.007,--------,memset-libc
5,1073741824,0,0.000,0,0.000,4,26480,26400,0.008,--------,memset-libc
5,32768,0,0.000,0,0.000,8,1033613,1033188,0.002,--------,memset-libc
5,524288,0,0.000,0,0.000,8,453072,444228,0.096,--------,memset-libc
5,16777216,0,0.000,0,0.000,8,54580,54320,0.009,--------,memset-libc
5,1073741824,0,0.000,0,0.000,8,52199,52037,0.005,--------,memset-libc
5,32768,0,0.000,0,0.000,12,1594727,1590793,0.004,--------,memset-libc
5,524288,0,0.000,0,0.000,12,678794,649732,0.100,--------,memset-libc
5,16777216,0,0.000,0,0.000,12,78387,78182,0.011,--------,memset-libc
5,1073741824,0,0.000,0,0.000,12,75076,74934,0.003,--------,memset-libc
5,32768,0,0.000,0,0.000,16,2168099,2165546,0.003,--------,memset-libc
5,524288,0,0.000,0,0.000,16,889296,844107,0.086,--------,memset-libc
5,16777216,0,0.000,0,0.000,16,80514,80402,0.004,--------,memset-libc
5,1073741824,0,0.000,0,0.000,16,76630,76227,0.022,--------,memset-libc
5,32768,0,0.000,0,0.000,20,1803835,1803134,0.001,--------,memset-libc
5,524288,0,0.000,0,0.000,20,858674,840917,0.092,--------,memset-libc
5,16777216,0,0.000,0,0.000,20,79906,79853,0.001,--------,memset-libc
5,1073741824,0,0.000,0,0.000,20,76865,76151,0.038,--------,memset-libc
5,32768,0,0.000,0,0.000,24,1519053,1514542,0.006,--------,memset-libc
5,524288,0,0.000,0,0.000,24,821727,787968,0.070,--------,memset-libc
5,16777216,0,0.000,0,0.000,24,79344,78455,0.023,--------,memset-libc
5,1073741824,0,0.000,0,0.000,24,76621,75810,0.020,--------,memset-libc
5,32768,0,0.000,0,0.000,28,1193090,1180363,0.017,--------,memset-libc
5,524288,0,0.000,0,0.000,28,794355,768575,0.124,--------,memset-libc
5,16777216,0,0.000,0,0.000,28,78690,77721,0.037,--------,memset-libc
5,1073741824,0,0.000,0,0.000,28,76685,74388,0.062,--------,memset-libc
5,32768,0,0.000,0,0.000,32,888322,885433,0.012,--------,memset-libc
5,524288,0,0.000,0,0.000,32,752849,719114,0.153,--------,memset-libc
5,16777216,0,0.000,0,0.000,32,78070,77787,0.010,--------,memset-libc
5,1073741824,0,0.000,0,0.000,32,76480,75113,0.047,--------,memset-libc
5,32768,0,0.000,0,0.000,1,123278,123082,0.003,--------,memsetz-libc
5,524288,0,0.000,0,0.000,1,55571,54304,0.098,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,1,21640,20680,0.137,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,1,6798,6793,0.001,--------,memsetz-libc
5,32768,0,0.000,0,0.000,4,584565,583943,0.003,--------,memsetz-libc
5,524288,0,0.000,0,0.000,4,224548,217751,0.146,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,4,28300,28271,0.004,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,4,26795,26791,0.000,--------,memsetz-libc
5,32768,0,0.000,0,0.000,8,1103259,1101609,0.004,--------,memsetz-libc
5,524288,0,0.000,0,0.000,8,450878,438982,0.108,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,8,54951,54805,0.005,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,8,52602,52190,0.013,--------,memsetz-libc
5,32768,0,0.000,0,0.000,12,1604830,1598865,0.005,--------,memsetz-libc
5,524288,0,0.000,0,0.000,12,660336,637225,0.069,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,12,78342,78283,0.001,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,12,75140,75066,0.003,--------,memsetz-libc
5,32768,0,0.000,0,0.000,16,2135043,2132873,0.002,--------,memsetz-libc
5,524288,0,0.000,0,0.000,16,891569,863505,0.123,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,16,80606,80445,0.003,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,16,76702,76527,0.008,--------,memsetz-libc
5,32768,0,0.000,0,0.000,20,1829240,1822782,0.007,--------,memsetz-libc
5,524288,0,0.000,0,0.000,20,871754,855256,0.086,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,20,79934,79644,0.014,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,20,77003,76817,0.004,--------,memsetz-libc
5,32768,0,0.000,0,0.000,24,1514601,1508776,0.009,--------,memsetz-libc
5,524288,0,0.000,0,0.000,24,830401,800900,0.088,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,24,79333,79212,0.003,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,24,76665,74695,0.064,--------,memsetz-libc
5,32768,0,0.000,0,0.000,28,1217429,1213067,0.010,--------,memsetz-libc
5,524288,0,0.000,0,0.000,28,777237,744598,0.142,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,28,78433,77825,0.014,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,28,76554,74965,0.051,--------,memsetz-libc
5,32768,0,0.000,0,0.000,32,887802,885302,0.013,--------,memsetz-libc
5,524288,0,0.000,0,0.000,32,724538,693556,0.146,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,32,78051,76986,0.056,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,32,76362,75972,0.018,--------,memsetz-libc
5,32768,0,0.000,0,0.000,1,71614,71581,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,1,41889,41885,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,1,23915,23488,0.030,--------,stream-sum
5,1073741824,0,0.000,0,0.000,1,11447,11417,0.005,--------,stream-sum
5,32768,0,0.000,0,0.000,4,253561,253346,0.003,--------,stream-sum
5,524288,0,0.000,0,0.000,4,163662,163652,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,4,51729,51316,0.020,--------,stream-sum
5,1073741824,0,0.000,0,0.000,4,43666,43630,0.003,--------,stream-sum
5,32768,0,0.000,0,0.000,8,410969,410791,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,8,333886,333767,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,8,90457,90391,0.002,--------,stream-sum
5,1073741824,0,0.000,0,0.000,8,82271,82166,0.005,--------,stream-sum
