Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,32768,0,0.000,0,0.000,1,186350,186332,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,1,85849,85607,0.006,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,1,11165,10882,0.049,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,1,10264,10250,0.002,--------,memcpy-libc
5,32768,0,0.000,0,0.000,4,806303,806211,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,4,343867,343567,0.002,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,4,46122,45426,0.031,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,4,39580,39546,0.003,--------,memcpy-libc
5,32768,0,0.000,0,0.000,8,1653153,1645585,0.013,--------,memcpy-libc
5,524288,0,0.000,0,0.000,8,690170,689966,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,8,79877,79358,0.011,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,8,74591,74323,0.012,--------,memcpy-libc
5,32768,0,0.000,0,0.000,12,2461618,2445430,0.017,--------,memcpy-libc
5,524288,0,0.000,0,0.000,12,1030503,1030286,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,12,89205,89129,0.002,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,12,88208,87916,0.014,--------,memcpy-libc
5,32768,0,0.000,0,0.000,16,3283304,3277194,0.006,--------,memcpy-libc
5,524288,0,0.000,0,0.000,16,1370723,1364172,0.006,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,16,88571,88301,0.006,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,16,87624,86499,0.033,--------,memcpy-libc
5,32768,0,0.000,0,0.000,20,2784315,2780510,0.002,--------,memcpy-libc
5,524288,0,0.000,0,0.000,20,1282798,1282539,0.001,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,20,87251,86577,0.023,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,20,85921,85442,0.017,--------,memcpy-libc
5,32768,0,0.000,0,0.000,24,2333950,2329670,0.006,--------,memcpy-libc
5,524288,0,0.000,0,0.000,24,1233225,1232251,0.002,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,24,86601,85928,0.019,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,24,86006,85783,0.010,--------,memcpy-libc
5,32768,0,0.000,0,0.000,28,1789173,1786210,0.003,--------,memcpy-libc
5,524288,0,0.000,0,0.000,28,1107620,1101282,0.009,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,28,85011,84499,0.021,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,28,85176,85119,0.002,--------,memcpy-libc
5,32768,0,0.000,0,0.000,32,1288458,1287898,0.001,--------,memcpy-libc
5,524288,0,0.000,0,0.000,32,1040296,1039371,0.003,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,32,84929,84504,0.011,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,32,84473,84412,0.001,--------,memcpy-libc
5,32768,0,0.000,0,0.000,1,124727,123803,0.025,--------,memset-libc
5,524288,0,0.000,0,0.000,1,50235,48867,0.074,--------,memset-libc
5,16777216,0,0.000,0,0.000,1,20827,20750,0.013,--------,memset-libc
5,1073741824,0,0.000,0,0.000,1,6796,6793,0.001,--------,memset-libc
5,32768,0,0.000,0,0.000,4,549712,547932,0.006,--------,memset-libc
5,524288,0,0.000,0,0.000,4,221395,215691,0.065,--------,memset-libc
5,16777216,0,0.000,0,0.000,4,28395,28366,0.004,--------,memset-libc
5,1073741824,0,0.000,0,0.000,4,26808,26787,0.001,--------,memset-libc
5,32768,0,0.000,0,0.000,8,1109890,1102348,0.015,--------,memset-libc
5,524288,0,0.000,0,0.000,8,450153,440298,0.108,--------,memset-libc
5,16777216,0,0.000,0,0.000,8,55487,55456,0.001,--------,memset-libc
5,1073741824,0,0.000,0,0.000,8,53015,52959,0.002,--------,memset-libc
5,32768,0,0.000,0,0.000,12,1661428,1657124,0.005,--------,memset-libc
5,524288,0,0.000,0,0.000,12,679578,663860,0.110,--------,memset-libc
5,16777216,0,0.000,0,0.000,12,78200,78061,0.007,--------,memset-libc
5,1073741824,0,0.000,0,0.000,12,74969,74027,0.048,--------,memset-libc
5,32768,0,0.000,0,0.000,16,2198223,2192905,0.004,--------,memset-libc
5,524288,0,0.000,0,0.000,16,898814,872244,0.086,--------,memset-libc
5,16777216,0,0.000,0,0.000,16,80713,80584,0.004,--------,memset-libc
5,1073741824,0,0.000,0,0.000,16,75871,74268,0.056,--------,memset-libc
5,32768,0,0.000,0,0.000,20,1894890,1890220,0.003,--------,memset-libc
5,524288,0,0.000,0,0.000,20,864968,847228,0.085,--------,memset-libc
5,16777216,0,0.000,0,0.000,20,80029,79908,0.004,--------,memset-libc
5,1073741824,0,0.000,0,0.000,20,77067,76243,0.051,--------,memset-libc
5,32768,0,0.000,0,0.000,24,1598040,1594589,0.006,--------,memset-libc
5,524288,0,0.000,0,0.000,24,830470,806695,0.079,--------,memset-libc
5,16777216,0,0.000,0,0.000,24,77944,75914,0.047,--------,memset-libc
5,1073741824,0,0.000,0,0.000,24,76889,76648,0.011,--------,memset-libc
5,32768,0,0.000,0,0.000,28,1221541,1220109,0.002,--------,memset-libc
5,524288,0,0.000,0,0.000,28,785596,766540,0.104,--------,memset-libc
5,16777216,0,0.000,0,0.000,28,78645,77469,0.045,--------,memset-libc
5,1073741824,0,0.000,0,0.000,28,76754,76411,0.020,--------,memset-libc
5,32768,0,0.000,0,0.000,32,886345,881056,0.019,--------,memset-libc
5,524288,0,0.000,0,0.000,32,715729,689257,0.102,--------,memset-libc
5,16777216,0,0.000,0,0.000,32,78140,77928,0.007,--------,memset-libc
5,1073741824,0,0.000,0,0.000,32,76600,76412,0.007,--------,memset-libc
5,32768,0,0.000,0,0.000,1,123149,122934,0.004,--------,memsetz-libc
