Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,32768,0,0.000,0,0.000,1,188249,188212,0.001,--------,memcpy-libc
5,32768,0,0.000,0,0.000,1,186051,185980,0.001,--------,memcpy-libc
5,32768,0,0.000,0,0.000,1,185544,185446,0.001,--------,memcpy-libc
5,32768,0,0.000,0,0.000,1,187676,187649,0.000,--------,memcpy-libc
5,32768,0,0.000,0,0.000,1,187184,187165,0.000,--------,memcpy-libc
5,524288,0,0.000,0,0.000,1,86089,86021,0.001,--------,memcpy-libc
5,524288,0,0.000,0,0.000,1,86054,86039,0.001,--------,memcpy-libc
5,524288,0,0.000,0,0.000,1,86094,86068,0.001,--------,memcpy-libc
5,524288,0,0.000,0,0.000,1,85370,85352,0.001,--------,memcpy-libc
5,524288,0,0.000,0,0.000,1,85188,85177,0.000,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,1,14289,13875,0.060,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,1,13508,13226,0.059,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,1,13961,13623,0.058,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,1,14295,13762,0.077,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,1,13754,13452,0.046,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,1,10445,10435,0.003,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,1,10449,10439,0.003,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,1,10443,10431,0.003,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,1,10436,10417,0.005,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,1,10419,10371,0.011,--------,memcpy-libc
5,32768,0,0.000,0,0.000,4,821718,815918,0.015,--------,memcpy-libc
5,32768,0,0.000,0,0.000,4,822849,816305,0.017,--------,memcpy-libc
5,32768,0,0.000,0,0.000,4,796971,792857,0.015,--------,memcpy-libc
5,32768,0,0.000,0,0.000,4,819788,816589,0.014,--------,memcpy-libc
5,32768,0,0.000,0,0.000,4,806376,801999,0.008,--------,memcpy-libc
5,524288,0,0.000,0,0.000,4,342434,342178,0.003,--------,memcpy-libc
5,524288,0,0.000,0,0.000,4,345851,345779,0.001,--------,memcpy-libc
5,524288,0,0.000,0,0.000,4,342033,341791,0.002,--------,memcpy-libc
5,524288,0,0.000,0,0.000,4,343416,343273,0.002,--------,memcpy-libc
5,524288,0,0.000,0,0.000,4,344009,343781,0.003,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,4,52878,52294,0.019,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,4,52254,51896,0.014,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,4,53092,52368,0.022,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,4,53177,52549,0.025,--------,memcpy-libc
5,16777216,0,0.000,0,0.000,4,52644,51847,0.029,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,4,40575,40549,0.002,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,4,40581,40574,0.000,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,4,40577,40568,0.001,--------,memcpy-libc
5,1073741824,0,0.000,0,0.000,4,40577,40568,0.000,--------,memcpy-libc
